Film	Chapter	Character	Race	Words
The Two Towers	01: The Foundations Of Stone	Boromir	Man	2
The Two Towers	01: The Foundations Of Stone	Frodo	Hobbit	9
The Two Towers	01: The Foundations Of Stone	Gandalf	Wizard	39
The Two Towers	01: The Foundations Of Stone	Sam	Hobbit	5
The Two Towers	02: Elven Rope	Frodo	Hobbit	46
The Two Towers	02: Elven Rope	Sam	Hobbit	97
The Two Towers	03: The Taming of Sméagol	Frodo	Hobbit	123
The Two Towers	03: The Taming of Sméagol	Sam	Hobbit	181
The Two Towers	04: The Uruk-Hai	Grishnakh	Orc	10
The Two Towers	04: The Uruk-Hai	Mauhur	Orc	2
The Two Towers	04: The Uruk-Hai	Merry	Hobbit	19
The Two Towers	04: The Uruk-Hai	Pippin	Hobbit	26
The Two Towers	04: The Uruk-Hai	Ugluk	Orc	51
The Two Towers	05: The Three Hunters	Aragorn	Man	59
The Two Towers	05: The Three Hunters	Gimli	Dwarf	35
The Two Towers	05: The Three Hunters	Legolas	Elf	25
The Two Towers	06: The Burning of the Westfold	Eothain	Man	2
The Two Towers	06: The Burning of the Westfold	Freda	Man	24
The Two Towers	06: The Burning of the Westfold	Morwen	Man	37
The Two Towers	06: The Burning of the Westfold	Orc	Orc	29
The Two Towers	06: The Burning of the Westfold	Saruman	Wizard	187
The Two Towers	06: The Burning of the Westfold	Wild Man	Man	11
The Two Towers	07: Massacre at the Fords of Isen	Eomer	Man	13
The Two Towers	07: Massacre at the Fords of Isen	Rohan Warrior	Man	10
The Two Towers	08: The Banishment of Éomer	Eomer	Man	88
The Two Towers	08: The Banishment of Éomer	Eowyn	Man	8
The Two Towers	08: The Banishment of Éomer	Grima Wormtongue	Man	81
The Two Towers	08: The Banishment of Éomer	Theoden	Man	3
The Two Towers	09: On The Trail Of The Uruk-Hai	Gimli	Dwarf	6
The Two Towers	09: On The Trail Of The Uruk-Hai	Legolas	Elf	13
The Two Towers	10: Night Camp At Fangorn	Grishnakh	Orc	44
The Two Towers	10: Night Camp At Fangorn	Legolas	Elf	10
The Two Towers	10: Night Camp At Fangorn	Merry	Hobbit	68
The Two Towers	10: Night Camp At Fangorn	Orc	Orc	20
The Two Towers	10: Night Camp At Fangorn	Pippin	Hobbit	14
The Two Towers	10: Night Camp At Fangorn	Ugluk	Orc	33
The Two Towers	10: Night Camp At Fangorn	Uruk-hai	Orc	13
The Two Towers	11: The Riders Of Rohan	Aragorn	Man	68
The Two Towers	11: The Riders Of Rohan	Eomer	Man	156
The Two Towers	11: The Riders Of Rohan	Gimli	Dwarf	24
The Two Towers	11: The Riders Of Rohan	Legolas	Elf	7
The Two Towers	12: The Fate Of Merry And Pippin	Aragorn	Man	33
The Two Towers	12: The Fate Of Merry And Pippin	Gimli	Dwarf	16
The Two Towers	12: The Fate Of Merry And Pippin	Merry	Hobbit	3
The Two Towers	13: Treebeard	Grishnakh	Orc	18
The Two Towers	13: Treebeard	Merry	Hobbit	28
The Two Towers	13: Treebeard	Pippin	Hobbit	36
The Two Towers	14: The Passage Of The Marshes	Frodo	Hobbit	54
The Two Towers	14: The Passage Of The Marshes	Sam	Hobbit	69
The Two Towers	15: The White Rider	Aragorn	Man	68
The Two Towers	15: The White Rider	Gandalf	Wizard	298
The Two Towers	15: The White Rider	Gimli	Dwarf	73
The Two Towers	15: The White Rider	Legolas	Elf	63
The Two Towers	16: The Song Of The Entwives	Merry	Hobbit	4
The Two Towers	17: The Heir Of Númenor	Aragorn	Man	7
The Two Towers	17: The Heir Of Númenor	Gandalf	Wizard	226
The Two Towers	18: The Black Gate Is Closed	Frodo	Hobbit	39
The Two Towers	18: The Black Gate Is Closed	Sam	Hobbit	68
The Two Towers	19: Ent Draft	Merry	Hobbit	63
The Two Towers	19: Ent Draft	Pippin	Hobbit	122
The Two Towers	20: The King Of The Golden Hall	Aragorn	Man	18
The Two Towers	20: The King Of The Golden Hall	Eowyn	Man	28
