"sugu","laste_olemasolu","vaatlusperiood","toohoive"
"Mehed","0-2-aastased lapsed",1998,92.3
"Mehed","0-2-aastased lapsed",1999,85.3
"Mehed","0-2-aastased lapsed",2000,87.2
"Mehed","0-2-aastased lapsed",2001,87.7
"Mehed","0-2-aastased lapsed",2002,87
"Mehed","0-2-aastased lapsed",2003,88
"Mehed","0-2-aastased lapsed",2004,90
"Mehed","0-2-aastased lapsed",2005,92.3
"Mehed","0-2-aastased lapsed",2006,92.1
"Mehed","0-2-aastased lapsed",2007,95.3
"Mehed","0-2-aastased lapsed",2008,95.8
"Mehed","0-2-aastased lapsed",2009,83.9
"Mehed","0-2-aastased lapsed",2010,84.9
"Mehed","0-2-aastased lapsed",2011,91.4
"Mehed","0-2-aastased lapsed",2012,90.3
"Mehed","0-2-aastased lapsed",2013,91.1
"Mehed","0-2-aastased lapsed",2014,92.6
"Mehed","0-2-aastased lapsed",2015,93.5
"Mehed","0-2-aastased lapsed",2016,92.8
"Mehed","0-2-aastased lapsed",2017,92.3
"Mehed","0-2-aastased lapsed",2018,94.5
"Mehed","0-2-aastased lapsed",2019,94.7
"Mehed","0-2-aastased lapsed",2020,91.8
"Mehed","0-2-aastased lapsed",2021,90.7
"Mehed","0-2-aastased lapsed",2022,94.1
"Mehed","3-6-aastased lapsed",1998,90.1
"Mehed","3-6-aastased lapsed",1999,81.1
"Mehed","3-6-aastased lapsed",2000,89.9
"Mehed","3-6-aastased lapsed",2001,88.1
"Mehed","3-6-aastased lapsed",2002,90.7
"Mehed","3-6-aastased lapsed",2003,91.9
"Mehed","3-6-aastased lapsed",2004,89
"Mehed","3-6-aastased lapsed",2005,91.2
"Mehed","3-6-aastased lapsed",2006,94.6
"Mehed","3-6-aastased lapsed",2007,97.4
"Mehed","3-6-aastased lapsed",2008,91.9
"Mehed","3-6-aastased lapsed",2009,82.9
"Mehed","3-6-aastased lapsed",2010,80.6
"Mehed","3-6-aastased lapsed",2011,92.9
"Mehed","3-6-aastased lapsed",2012,92.2
"Mehed","3-6-aastased lapsed",2013,93.3
"Mehed","3-6-aastased lapsed",2014,93.9
"Mehed","3-6-aastased lapsed",2015,92.8
"Mehed","3-6-aastased lapsed",2016,94.6
"Mehed","3-6-aastased lapsed",2017,95.6
"Mehed","3-6-aastased lapsed",2018,94.6
"Mehed","3-6-aastased lapsed",2019,93.7
"Mehed","3-6-aastased lapsed",2020,93.6
"Mehed","3-6-aastased lapsed",2021,93.3
"Mehed","3-6-aastased lapsed",2022,92.2
"Mehed","7-14-aastased lapsed",1998,90
"Mehed","7-14-aastased lapsed",1999,85
"Mehed","7-14-aastased lapsed",2000,86.2
"Mehed","7-14-aastased lapsed",2001,87.1
"Mehed","7-14-aastased lapsed",2002,90
"Mehed","7-14-aastased lapsed",2003,91.6
"Mehed","7-14-aastased lapsed",2004,88.7
"Mehed","7-14-aastased lapsed",2005,89
"Mehed","7-14-aastased lapsed",2006,92.3
"Mehed","7-14-aastased lapsed",2007,91.3
"Mehed","7-14-aastased lapsed",2008,93.6
"Mehed","7-14-aastased lapsed",2009,85.1
"Mehed","7-14-aastased lapsed",2010,83.7
"Mehed","7-14-aastased lapsed",2011,85.5
"Mehed","7-14-aastased lapsed",2012,91.1
"Mehed","7-14-aastased lapsed",2013,93.4
"Mehed","7-14-aastased lapsed",2014,89.8
"Mehed","7-14-aastased lapsed",2015,92.6
